reading, gT00, gT01, gT02, gT03, gT10, gT11, gT12, gT13, gT20, gT21, gT22, gT23, gT30, gT31, gT32, gT33
Hokuyo_0.csv , 1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_1.csv , 0.999470, -0.031755, -0.007221, 0.756539, 0.031768, 0.999494, 0.001610, 0.081757, 0.007166, -0.001838, 0.999972, 0.014114, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_2.csv , 0.999533, 0.030198, -0.004746, 1.256925, -0.030193, 0.999543, 0.001143, 0.159944, 0.004779, -0.000999, 0.999988, 0.022687, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_3.csv , 0.999177, 0.040400, 0.003834, 1.819489, -0.040424, 0.999161, 0.006544, 0.194098, -0.003567, -0.006693, 0.999971, 0.031270, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_4.csv , 0.999650, 0.024448, -0.010118, 2.323664, -0.024369, 0.999672, 0.007851, 0.201405, 0.010307, -0.007602, 0.999918, 0.039617, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_5.csv , 0.999822, 0.001573, -0.018801, 2.748066, -0.001564, 0.999998, 0.000517, 0.187585, 0.018801, -0.000487, 0.999823, 0.051195, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_6.csv , 0.999830, 0.006853, -0.017159, 3.273188, -0.006741, 0.999956, 0.006575, 0.256073, 0.017203, -0.006458, 0.999831, 0.065087, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_7.csv , 0.892893, 0.450134, -0.010982, 3.860275, -0.450134, 0.892957, 0.002581, 0.255779, 0.010968, 0.002639, 0.999936, 0.076171, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_8.csv , 0.549618, 0.835403, -0.004724, 4.202364, -0.835411, 0.549586, -0.006576, 0.014570, -0.002897, 0.007561, 0.999967, 0.083849, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_9.csv , 0.278351, 0.960369, -0.014554, 4.418957, -0.960476, 0.278275, -0.007036, -0.312468, -0.002708, 0.015937, 0.999869, 0.088484, 0.000000, 0.000000, 0.000000, 1.000000
