reading, gT00, gT01, gT02, gT03, gT10, gT11, gT12, gT13, gT20, gT21, gT22, gT23, gT30, gT31, gT32, gT33
Hokuyo_0.csv   , 1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.0000000
Hokuyo_1.csv   , 0.998843, -0.048096, -0.001084, 0.619281, 0.048097, 0.998842, 0.001030, 0.013897, 0.001034, -0.001080, 0.999999, 0.005593, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_2.csv   , 0.999911, -0.007766, 0.010879, 1.219727, 0.007728, 0.999964, 0.003464, 0.039083, -0.010906, -0.003380, 0.999934, 0.010429, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_3.csv   , 0.999949, 0.004420, -0.008980, 1.887383, -0.004396, 0.999987, 0.002543, 0.098317, 0.008991, -0.002503, 0.999956, 0.017515, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_4.csv   , 0.999215, -0.039047, -0.006640, 2.462627, 0.039067, 0.999233, 0.002824, 0.106833, 0.006525, -0.003081, 0.999974, 0.027417, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_5.csv   , 0.988188, 0.153245, -0.000811, 3.108682, -0.153240, 0.988182, 0.003738, 0.074786, 0.001374, -0.003570, 0.999993, 0.036378, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_6.csv   , 0.780158, 0.625541, 0.007167, 3.568245, -0.625515, 0.780192, -0.005655, -0.094521, -0.009129, -0.000072, 0.999959, 0.038961, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_7.csv   , 0.413488, 0.910509, -0.001077, 3.826467, -0.910471, 0.413460, -0.009623, -0.323223, -0.008317, 0.004960, 0.999953, 0.039368, 0.000000, 0.000000, 0.000000, 1.0000000
Hokuyo_8.csv   , 0.179926, 0.983667, -0.005092, 4.021634, -0.983667, 0.179895, -0.006093, -0.669922, -0.005078, 0.006105, 0.999969, 0.041167, 0.000000, 0.000000, 0.000000, 1.0000000
Hokuyo_9.csv   , 0.035483, 0.999358, -0.005019, 4.068572, -0.999361, 0.035460, -0.004514, -1.366396, -0.004333, 0.005176, 0.999977, 0.044168, 0.000000, 0.000000, 0.000000, 1.0000000
Hokuyo_10.csv  ,  -0.016281, 0.999862, 0.003452, 4.107445, -0.999793, -0.016237, -0.012256, -2.033314, -0.012197, -0.003651, 0.999919, 0.044605, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_11.csv  ,  0.010478, 0.999924, 0.006524, 4.099245, -0.999895, 0.010544, -0.009952, -2.591478, -0.010020, -0.006418, 0.999929, 0.042934, 0.000000, 0.000000, 0.000000, 1.000000
