reading, gT00, gT01, gT02, gT03, gT10, gT11, gT12, gT13, gT20, gT21, gT22, gT23, gT30, gT31, gT32, gT33
Hokuyo_0.csv , 1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_1.csv , 0.989554, -0.143874, 0.009123, 0.494628, 0.144077, 0.989169, -0.028047, 0.049691, -0.004989, 0.029069, 0.999565, 0.015068, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_2.csv , 0.949363, -0.312445, -0.032994, 0.972797, 0.311783, 0.949857, -0.023739, 0.142552, 0.038757, 0.012250, 0.999174, 0.039585, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_3.csv , 0.975605, -0.217915, -0.026625, 1.497732, 0.217921, 0.975963, -0.002693, 0.394841, 0.026572, -0.003176, 0.999642, 0.072241, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_4.csv , 0.918016, 0.395296, -0.031397, 1.969104, -0.396009, 0.918008, -0.020954, 0.453189, 0.020539, 0.031670, 0.999287, 0.101179, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_5.csv , 0.775218, 0.631676, -0.004809, 2.353590, -0.631694, 0.775197, -0.005702, 0.292989, 0.000126, 0.007459, 0.999972, 0.115535, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_6.csv , 0.650238, 0.758808, 0.037428, 2.656759, -0.759729, 0.649357, 0.033857, -0.028373, 0.001387, -0.050450, 0.998725, 0.128717, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_7.csv , 0.682707, 0.730317, 0.023412, 2.956328, -0.730658, 0.682634, 0.012245, -0.479475, -0.007041, -0.025466, 0.999651, 0.145822, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_8.csv , 0.930774, 0.365540, 0.006318, 3.105034, -0.365594, 0.930673, 0.013777, -0.602367, -0.000844, -0.015133, 0.999885, 0.150191, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_9.csv , 0.998573, 0.048943, 0.021343, 3.461107, -0.048860, 0.998797, -0.004364, -0.712299, -0.021531, 0.003314, 0.999763, 0.139865, 0.000000, 0.000000, 0.000000, 1.000000
