reading, gT00, gT01, gT02, gT03, gT10, gT11, gT12, gT13, gT20, gT21, gT22, gT23, gT30, gT31, gT32, gT33
Hokuyo_0.csv ,1.000000, -0.000000, -0.000000, 0.000000, -0.000000, 1.000000, -0.000000, 0.000000, 0.000000, -0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_1.csv ,0.984311, -0.172700, -0.036134, 0.605742, 0.172686, 0.984970, -0.003532, 0.040749, 0.036200, -0.002762, 0.999341, 0.026929, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_2.csv ,0.999116, 0.023116, -0.035107, 1.240834, -0.022860, 0.999709, 0.007668, 0.213824, 0.035274, -0.006859, 0.999354, 0.061403, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_3.csv ,0.891785, 0.450742, -0.039388, 1.844319, -0.450591, 0.892634, 0.013117, 0.100563, 0.041071, 0.006050, 0.999138, 0.098281, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_4.csv ,0.622161, 0.782703, -0.017116, 2.095826, -0.782236, 0.622386, 0.027256, -0.229570, 0.031986, -0.003569, 0.999482, 0.117248, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_5.csv ,0.272203, 0.962129, 0.014595, 2.374887, -0.962207, 0.272038, 0.012311, -0.525821, 0.007874, -0.017395, 0.999817, 0.144072, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_6.csv ,0.626913, 0.778916, -0.016457, 2.555051, -0.778829, 0.627110, 0.012617, -0.973250, 0.020147, 0.004907, 0.999785, 0.164353, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_7.csv ,0.925683, 0.376887, 0.032668, 2.967011, -0.377399, 0.925986, 0.010995, -1.243140, -0.026106, -0.022506, 0.999406, 0.158620, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_8.csv ,0.977197, 0.203922, 0.059185, 3.527975, -0.203860, 0.978974, -0.007151, -1.456084, -0.059398, -0.005077, 0.998221, 0.139030, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_9.csv ,0.978318, -0.195092, -0.069526, 4.146593, 0.197790, 0.979646, 0.034243, -1.589515, 0.061431, -0.047253, 0.996992, 0.158614, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_10.csv, 0.668793, -0.739141, -0.079917, 4.574145, 0.743333, 0.666711, 0.054340, -1.365886, 0.013116, -0.095747, 0.995319, 0.190848, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_11.csv, 0.255842, -0.962346, -0.091841, 4.794319, 0.966100, 0.251123, 0.059911, -0.779939, -0.034591, -0.104055, 0.993970, 0.192743, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_12.csv, 0.213726, -0.972514, -0.092406, 4.932724, 0.976202, 0.209059, 0.057650, -0.237166, -0.036747, -0.102527, 0.994051, 0.189472, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_13.csv, 0.178910, -0.979939, -0.087813, 5.076449, 0.983602, 0.176083, 0.039002, 0.316033, -0.022757, -0.093351, 0.995373, 0.197132, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_14.csv, 0.213634, -0.971944, -0.098412, 5.188445, 0.976861, 0.211497, 0.031783, 0.874643, -0.010077, -0.102925, 0.994638, 0.200909, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_15.csv, 0.237932, -0.967697, -0.083371, 5.376594, 0.971133, 0.235514, 0.037877, 1.544746, -0.017019, -0.089976, 0.995798, 0.211712, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_16.csv, 0.286397, -0.954528, -0.082785, 5.503217, 0.957427, 0.281856, 0.062391, 2.242279, -0.036221, -0.097129, 0.994612, 0.209116, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_17.csv, 0.245511, -0.964858, -0.093663, 5.599199, 0.969147, 0.242123, 0.046142, 2.762517, -0.021843, -0.102101, 0.994534, 0.205043, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_18.csv, 0.230379, -0.967989, -0.099615, 5.698364, 0.973060, 0.228215, 0.032748, 3.328267, -0.008967, -0.104476, 0.994487, 0.204219, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_19.csv, 0.242855, -0.963768, -0.110334, 5.853962, 0.969617, 0.237721, 0.057716, 4.021906, -0.029396, -0.120998, 0.992217, 0.206515, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_20.csv, 0.334188, -0.935428, -0.115294, 5.942400, 0.942313, 0.329136, 0.060956, 4.496712, -0.019072, -0.129014, 0.991459, 0.203622, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_21.csv, 0.312083, -0.938433, -0.148145, 6.085238, 0.947993, 0.317863, -0.016473, 5.112898, 0.062549, -0.135299, 0.988829, 0.214119, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_22.csv, 0.224279, -0.969197, -0.101765, 6.313151, 0.974340, 0.220971, 0.042838, 5.725069, -0.019032, -0.108762, 0.993886, 0.241050, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_23.csv, 0.319945, -0.942850, -0.093107, 6.508763, 0.947370, 0.317221, 0.043118, 6.350153, -0.011119, -0.102002, 0.994722, 0.255819, 0.000000, 0.000000, 0.000000, 1.000000
Hokuyo_24.csv, 0.277868, -0.950289, -0.140500, 6.707878, 0.960448, 0.277588, 0.021989, 6.921520, 0.018106, -0.141053, 0.989837, 0.275608, 0.000000, 0.000000, 0.000000, 1.000000
